Trial_Number,Image_Name,Click_Count,Time_to_Click,Click_Coordinates,Find_Accuracy
1,waldo103.jpg,1,1.0505252000002656,[-0.2125     -0.55925926],0
1,waldo103.jpg,2,1.9831697999907192,[-0.43541667  0.32962963],1
2,waldo104.jpg,1,0.9773237999761477,[ 0.66979167 -0.93703704],0
2,waldo104.jpg,2,0.31154259998584166,[-0.54895833 -0.47592593],0
2,waldo104.jpg,3,0.32910020000417717,[-0.43645833  0.37962963],0
3,waldo105.jpg,1,1.81325169999036,[-0.20104167 -0.2537037 ],1
4,waldo101.jpg,1,1.1551712000218686,[ 0.06770833 -0.53333333],0
4,waldo101.jpg,2,0.39695289998780936,[-0.54479167 -0.02407407],0
4,waldo101.jpg,3,0.3305351000162773,[0.04895833 0.40555556],0
5,waldo102.jpg,1,1.085922300000675,[ 0.0375     -0.32407407],0
5,waldo102.jpg,2,0.3083405999932438,[ 0.73229167 -0.5037037 ],1
6,waldo106.jpg,1,0.5400923000124749,[-0.13645833 -0.0537037 ],0
6,waldo106.jpg,2,0.3308800999948289,[ 0.80625    -0.47222222],0
6,waldo106.jpg,3,0.03098499999032356,[ 0.78645833 -0.30740741],1
